Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,hour,month,dayofweek,city_encoded,cluster,anomaly,safety_score
3,2020-02-01 05:00:00,2020-01-01 02:00:00,2020-01-01 14:30:00,Ludhiana,271,KIDNAPPING,48,F,Blunt Object,Other Crime,15,No,,14.0,1,2,15,1,1,95
4,2020-01-01 05:00:00,2020-01-01 03:00:00,2020-01-01 14:46:00,Pune,170,BURGLARY,49,F,Firearm,Other Crime,1,Yes,29-04-2020 05:00,14.0,1,2,21,1,1,95
5,2020-01-01 21:00:00,2020-01-01 04:00:00,2020-01-01 16:51:00,Pune,421,VANDALISM,30,F,Other,Other Crime,18,Yes,08-01-2020 21:00,16.0,1,2,21,1,1,95
7,2020-01-01 16:00:00,2020-01-01 06:00:00,2020-01-01 14:08:00,Chennai,172,VEHICLE - STOLEN,64,F,Knife,Violent Crime,13,Yes,24-03-2020 16:00,14.0,1,2,4,2,1,90
13,2020-01-01 16:00:00,2020-01-01 12:00:00,2020-01-01 23:14:00,Visakhapatnam,498,FRAUD,36,F,Poison,Other Crime,3,Yes,29-02-2020 16:00,23.0,1,2,28,1,-1,45
15,2020-02-01 00:00:00,2020-01-01 14:00:00,2020-01-01 22:28:00,Bangalore,266,SEXUAL ASSAULT,77,F,,Violent Crime,19,No,,22.0,1,2,2,2,-1,40
16,2020-02-01 07:00:00,2020-01-01 15:00:00,2020-01-01 18:54:00,Kolkata,357,COUNTERFEITING,51,F,Explosives,Other Crime,16,Yes,30-03-2020 07:00,18.0,1,2,13,2,1,90
18,2020-04-01 02:00:00,2020-01-01 17:00:00,2020-01-01 23:09:00,Pune,342,ARSON,64,F,Other,Fire Accident,2,No,,23.0,1,2,21,1,-1,45
20,2020-03-01 18:00:00,2020-01-01 19:00:00,2020-02-01 18:02:00,Bangalore,369,EXTORTION,62,F,Blunt Object,Other Crime,2,Yes,05-03-2020 18:00,18.0,1,2,2,2,-1,60
21,2020-03-01 22:00:00,2020-01-01 20:00:00,2020-02-01 02:33:00,Hyderabad,251,TRAFFIC VIOLATION,50,F,Poison,Traffic Fatality,14,Yes,22-01-2020 22:00,2.0,1,2,8,0,-1,50
22,2020-03-01 12:00:00,2020-01-01 21:00:00,2020-02-01 10:11:00,Mumbai,374,VANDALISM,64,F,Other,Other Crime,15,Yes,03-03-2020 12:00,10.0,1,2,17,1,1,95
23,2020-02-01 10:00:00,2020-01-01 22:00:00,2020-01-01 22:03:00,Jaipur,507,SHOPLIFTING,69,F,Blunt Object,Other Crime,13,No,,22.0,1,2,10,2,-1,40
24,2020-03-01 09:00:00,2020-01-01 23:00:00,2020-01-01 23:40:00,Chennai,322,VANDALISM,77,F,Other,Other Crime,18,No,,23.0,1,2,4,2,-1,40
